 ******* Program HYDRUS
 ******* 
 Esperance                                                               
 Date:  27. 4.    Time:  12:52:34
 Units: L = cm   , T = sec  , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  45    -3.3160   -2722.786 0.1095   0.9806E-10  0.8015E-05 -0.5865E-06  0.0000E+00      -1  -0.733E-02   20.00
  46    -3.3342   -2839.779 0.1087   0.8444E-10  0.7461E-05 -0.5869E-06  0.0000E+00      -1  -0.734E-02   20.00
  47    -3.3499   -2958.257 0.1078   0.7066E-10  0.6900E-05 -0.5870E-06  0.0000E+00      -1  -0.734E-02   20.00
  48    -3.3630   -2958.514 0.3391   0.5692E-07  0.2063E-05 -0.5869E-06  0.0000E+00      -1  -0.734E-02   20.00
  49    -3.4910   -2959.706 0.3391   0.5692E-07  0.2066E-05 -0.5870E-06  0.0000E+00      -1  -0.734E-02   20.00
  50    -3.6190   -2960.898 0.3391   0.5692E-07  0.2070E-05 -0.5870E-06  0.0000E+00      -1  -0.734E-02   20.00
  51    -3.7470   -2962.090 0.3391   0.5691E-07  0.2073E-05 -0.5870E-06  0.0000E+00      -1  -0.734E-02   20.00
end


 Time:   155937.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -1382.667 0.1284   0.1375E-08  0.2613E-04 -0.1239E-11  0.0000E+00      -1  -0.155E-07   20.00
   2    -0.1300   -1383.180 0.1284   0.1373E-08  0.2611E-04 -0.1347E-07  0.0000E+00      -1  -0.168E-03   20.00
   3    -0.2574   -1384.939 0.1283   0.1367E-08  0.2606E-04 -0.2681E-07  0.0000E+00      -1  -0.335E-03   20.00
   4    -0.3824   -1387.885 0.1282   0.1357E-08  0.2596E-04 -0.3989E-07  0.0000E+00      -1  -0.499E-03   20.00
   5    -0.5047   -1391.971 0.1281   0.1343E-08  0.2583E-04 -0.5269E-07  0.0000E+00      -1  -0.659E-03   20.00
   6    -0.6246   -1397.161 0.1280   0.1325E-08  0.2567E-04 -0.6523E-07  0.0000E+00      -1  -0.815E-03   20.00
   7    -0.7418   -1403.427 0.1279   0.1303E-08  0.2547E-04 -0.7751E-07  0.0000E+00      -1  -0.969E-03   20.00
   8    -0.8566   -1410.754 0.1277   0.1277E-08  0.2524E-04 -0.8954E-07  0.0000E+00      -1  -0.112E-02   20.00
   9    -0.9688   -1419.135 0.1275   0.1248E-08  0.2497E-04 -0.1013E-06  0.0000E+00      -1  -0.127E-02   20.00
  10    -1.0785   -1428.573 0.1272   0.1215E-08  0.2468E-04 -0.1129E-06  0.0000E+00      -1  -0.141E-02   20.00
  11    -1.1856   -1439.089 0.1270   0.1178E-08  0.2434E-04 -0.1242E-06  0.0000E+00      -1  -0.155E-02   20.00
  12    -1.2902   -1450.716 0.1267   0.1138E-08  0.2398E-04 -0.1354E-06  0.0000E+00      -1  -0.169E-02   20.00
  13    -1.3922   -1463.510 0.1263   0.1093E-08  0.2357E-04 -0.1464E-06  0.0000E+00      -1  -0.183E-02   20.00
  14    -1.4917   -1477.551 0.1260   0.1044E-08  0.2313E-04 -0.1572E-06  0.0000E+00      -1  -0.197E-02   20.00
  15    -1.5887   -1492.959 0.1256   0.9906E-09  0.2264E-04 -0.1680E-06  0.0000E+00      -1  -0.210E-02   20.00
  16    -1.6831   -1509.905 0.1252   0.9315E-09  0.2210E-04 -0.1787E-06  0.0000E+00      -1  -0.223E-02   20.00
  17    -1.7750   -1528.641 0.1247   0.8662E-09  0.2151E-04 -0.1895E-06  0.0000E+00      -1  -0.237E-02   20.00
  18    -1.8643   -1549.548 0.1242   0.7933E-09  0.2085E-04 -0.2004E-06  0.0000E+00      -1  -0.251E-02   20.00
  19    -1.9511   -1572.593 0.1237   0.7528E-09  0.2037E-04 -0.2096E-06  0.0000E+00      -1  -0.262E-02   20.00
  20    -2.0354   -1596.825 0.1233   0.7255E-09  0.1996E-04 -0.2168E-06  0.0000E+00      -1  -0.271E-02   20.00
  21    -2.1171   -1622.058 0.1229   0.6971E-09  0.1954E-04 -0.2237E-06  0.0000E+00      -1  -0.280E-02   20.00
  22    -2.1963   -1648.332 0.1224   0.6675E-09  0.1909E-04 -0.2303E-06  0.0000E+00      -1  -0.288E-02   20.00
  23    -2.2729   -1675.703 0.1220   0.6367E-09  0.1863E-04 -0.2366E-06  0.0000E+00      -1  -0.296E-02   20.00
  24    -2.3470   -1704.251 0.1215   0.6045E-09  0.1815E-04 -0.2426E-06  0.0000E+00      -1  -0.303E-02   20.00
  25    -2.4185   -1734.085 0.1210   0.5709E-09  0.1765E-04 -0.2484E-06  0.0000E+00      -1  -0.311E-02   20.00
  26    -2.4876   -1765.360 0.1205   0.5357E-09  0.1712E-04 -0.2539E-06  0.0000E+00      -1  -0.317E-02   20.00
  27    -2.5540   -1798.289 0.1199   0.4986E-09  0.1656E-04 -0.2592E-06  0.0000E+00      -1  -0.324E-02   20.00
  28    -2.6180   -1833.184 0.1193   0.4593E-09  0.1597E-04 -0.2643E-06  0.0000E+00      -1  -0.330E-02   20.00
  29    -2.6793   -1870.508 0.1187   0.4172E-09  0.1534E-04 -0.2693E-06  0.0000E+00      -1  -0.337E-02   20.00
  30    -2.7382   -1910.992 0.1180   0.3716E-09  0.1466E-04 -0.2741E-06  0.0000E+00      -1  -0.343E-02   20.00
